1950,48486892
1951,48176160
1952,47383364
1953,47239576
1954,46662428
1955,46635656
1956,46479064
1957,46880772
1958,46518260
1959,50724510
1960,54612440
1961,49918924
1962,46061444
1963,46913210
1964,46822884
1965,48213550
1966,47841524
1967,47568790
1968,47629250
1969,47815950
1970,48163464
1971,49384108
1972,47770224
1973,47573276
1974,47478096
1975,47622990
1976,47707252
1977,47166790
1978,47293144
1979,46963884
1980,47349924
1981,47470790
1982,47659344
1983,48206576
1984,48430624
1985,48772812
1986,48643610
1987,48657012
1988,49183184
1989,49178260
1990,49794344
1991,50108430
1992,50281876
1993,50831804
1994,51930610
1995,51406892
1996,51410950
1997,51432010
1998,51853500
1999,52183584
2000,52240370
2001,52431244
2002,52757536
2003,53077070
2004,53187800
2005,53390436
2006,53281776
2007,53410050
2008,53987020
2009,54122620
2010,54268588
2011,54581440
2012,54794788
2013,55092620
2014,55545316
2015,56305970
2016,56756910
2017,57572252
2018,57792804
2019,58354932
2020,63546316
2021,69728104
2022,62278628
2023,61651610
